"ID","version","startDate","patch","match-status","isLive","event","groupname","playoff-stage","overtrackOwnerID","VOD","VODname","bestOf","team1","team2","team1Score","team2Score","newRawdata","matchOfMatches","fatherMatch","privKey","srBefore","srAfter"
"2402","4","2018-01-13 19:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/218282245",,"4","332","337","4","0","0","0",NULL,,"0","0"
"2403","4","2018-01-13 21:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/218315065",,"4","336","331","3","1","0","0",NULL,,"0","0"
"2404","4","2018-01-13 23:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/218347146",,"4","329","334","4","0","0","0",NULL,,"0","0"
"2405","4","2018-01-18 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/219693564",,"4","338","337","1","2","0","0",NULL,,"0","0"
"2406","4","2018-01-18 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/219713841",,"4","335","329","0","4","0","0",NULL,,"0","0"
"2407","4","2018-01-18 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/219741319",,"4","331","328","4","0","0","0",NULL,,"0","0"
"2408","4","2018-01-18 22:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/220059621",,"4","330","331","0","4","0","0",NULL,,"0","0"
"2409","4","2018-01-19 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/220071474",,"4","336","333","3","0","0","0",NULL,,"0","0"
"2410","4","2018-01-19 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/220071034",,"4","337","334","2","3","0","0",NULL,,"0","0"
"2411","4","2018-01-20 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/220419464https://www.twitch.tv/videos/220307753",,"4","329","318","4","0","0","0",NULL,,"0","0"
"2412","4","2018-01-20 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/220422445",,"4","328","335","0","4","0","0",NULL,,"0","0"
"2413","4","2018-01-20 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/220426327",,"4","332","330","3","1","0","0",NULL,,"0","0"
"2414","4","2018-01-20 19:00:00",NULL,"2","0","86","Stage 1","0",NULL," https://www.twitch.tv/videos/220580845",,"4","333","332","2","3","0","0",NULL,,"0","0"
"2415","4","2018-01-20 21:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/220719833",,"4","334","336","0","4","0","0",NULL,,"0","0"
"2416","4","2018-01-20 23:00:00",NULL,"2","0","86","Stage 1","0",NULL," https://www.twitch.tv/videos/220580845",,"4","318","338","2","3","0","0",NULL,,"0","0"
"2417","4","2018-01-25 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222010471",,"4","338","332","1","3","0","0",NULL,,"0","0"
"2418","4","2018-01-25 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222010471",,"4","328","329","1","3","0","0",NULL,,"0","0"
